,index,mechanism,action,drugA,drugB
92993,92993,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Montelukast
92994,92994,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Lercanidipine
92995,92995,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Ciprofloxacin
93000,93000,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Naltrexone
93004,93004,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Bumetanide
93005,93005,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Ethanol
93006,93006,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Methyldopa
93008,93008,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Letrozole
93010,93010,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Leflunomide
93014,93014,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Metoclopramide
93017,93017,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cerivastatin,Isoniazid
93018,93018,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Ivermectin,Cerivastatin
93021,93021,The metabolism,decrease,Cerivastatin,Flurbiprofen
93024,93024,The metabolism,decrease,Cerivastatin,Flunitrazepam
93025,93025,The metabolism,decrease,Cerivastatin,Eltrombopag
93030,93030,The metabolism,decrease,Cerivastatin,Ertugliflozin
93047,93047,The metabolism,increase,Albendazole,Cerivastatin
93048,93048,The metabolism,increase,Doxazosin,Cerivastatin
93049,93049,The metabolism,increase,Linagliptin,Cerivastatin
93052,93052,The metabolism,increase,Netupitant,Cerivastatin
93055,93055,The metabolism,increase,Desipramine,Cerivastatin
93057,93057,The metabolism,increase,Cytarabine,Cerivastatin
93058,93058,The metabolism,increase,Docetaxel,Cerivastatin
93059,93059,The metabolism,increase,Levothyroxine,Cerivastatin
93060,93060,The metabolism,increase,Carbamazepine,Cerivastatin
93061,93061,The metabolism,increase,Cisapride,Cerivastatin
93066,93066,The metabolism,increase,Aminophylline,Cerivastatin
93068,93068,The metabolism,increase,Dasatinib,Cerivastatin
93069,93069,The metabolism,increase,Digitoxin,Cerivastatin
93070,93070,The metabolism,increase,Everolimus,Cerivastatin
93079,93079,The metabolism,increase,Cerivastatin,Abiraterone
93080,93080,The metabolism,increase,Cerivastatin,Dabrafenib
93084,93084,The metabolism,increase,Cerivastatin,Midostaurin
93097,93097,The metabolism,increase,Axitinib,Cerivastatin
93098,93098,The metabolism,increase,Ceritinib,Cerivastatin
93102,93102,The metabolism,increase,Cerivastatin,Crizotinib
93103,93103,The metabolism,increase,Cerivastatin,Daunorubicin
93105,93105,The metabolism,increase,Etoposide,Cerivastatin
93107,93107,The metabolism,increase,Doxorubicin,Cerivastatin
93111,93111,The metabolism,increase,Ixabepilone,Cerivastatin
93115,93115,The metabolism,increase,Neratinib,Cerivastatin
93119,93119,The metabolism,decrease,Cerivastatin,Ketoconazole
93124,93124,The metabolism,decrease,Cerivastatin,Chloramphenicol
93127,93127,The metabolism,decrease,Cerivastatin,Aprepitant
93129,93129,The metabolism,decrease,Cerivastatin,Clofazimine
93130,93130,The metabolism,increase,Cerivastatin,Modafinil
93132,93132,The metabolism,increase,Cerivastatin,Icotinib
93133,93133,The metabolism,increase,Cerivastatin,Budesonide
93143,93143,The metabolism,decrease,Dutasteride,Cerivastatin
93146,93146,The metabolism,decrease,Flutamide,Cerivastatin
93148,93148,The metabolism,decrease,Finasteride,Cerivastatin
93156,93156,The metabolism,decrease,Hydroxyzine,Cerivastatin
93159,93159,The metabolism,decrease,Ivacaftor,Cerivastatin
93161,93161,The metabolism,decrease,Eplerenone,Cerivastatin
93162,93162,The metabolism,decrease,Alfentanil,Cerivastatin
93165,93165,The metabolism,decrease,Ketoprofen,Cerivastatin
93166,93166,The metabolism,decrease,Celecoxib,Cerivastatin
93167,93167,The metabolism,decrease,Cyclophosphamide,Cerivastatin
93168,93168,The metabolism,decrease,Fluorouracil,Cerivastatin
93172,93172,The metabolism,decrease,Naproxen,Cerivastatin
93175,93175,The metabolism,decrease,Almotriptan,Cerivastatin
93177,93177,The metabolism,decrease,Domperidone,Cerivastatin
93179,93179,The metabolism,decrease,Ketamine,Cerivastatin
93193,93193,The metabolism,decrease,Lobeglitazone,Cerivastatin
93215,93215,The metabolism,decrease,Anastrozole,Cerivastatin
93221,93221,The metabolism,decrease,Cerivastatin,Apalutamide
93222,93222,The metabolism,decrease,Chloroquine,Cerivastatin
93223,93223,The metabolism,decrease,Amodiaquine,Cerivastatin
93224,93224,The metabolism,decrease,Loperamide,Cerivastatin
93225,93225,The metabolism,decrease,Lapatinib,Cerivastatin
93226,93226,The metabolism,decrease,Cerivastatin,Metronidazole
93233,93233,The metabolism,decrease,Apomorphine,Cerivastatin
93239,93239,The metabolism,increase,Cerivastatin,Hydrocortisone
93244,93244,The metabolism,increase,Isoflurane,Cerivastatin
93248,93248,The metabolism,increase,Clotiazepam,Cerivastatin
93251,93251,The metabolism,increase,Methyltestosterone,Cerivastatin
93252,93252,The metabolism,increase,Bupropion,Cerivastatin
93253,93253,The metabolism,increase,Cerivastatin,Irinotecan
93256,93256,The metabolism,decrease,Dextromethorphan,Cerivastatin
93257,93257,The metabolism,decrease,Nabumetone,Cerivastatin
93260,93260,The metabolism,decrease,Cinnarizine,Cerivastatin
93262,93262,The metabolism,decrease,Chlorpropamide,Cerivastatin
93264,93264,The metabolism,decrease,Nateglinide,Cerivastatin
93266,93266,The metabolism,decrease,Etodolac,Cerivastatin
93269,93269,The metabolism,decrease,Donepezil,Cerivastatin
93271,93271,The metabolism,decrease,Alosetron,Cerivastatin
93274,93274,The metabolism,decrease,Methoxyflurane,Cerivastatin
93276,93276,The metabolism,decrease,Melatonin,Cerivastatin
93277,93277,The metabolism,decrease,Glipizide,Cerivastatin
93278,93278,The metabolism,decrease,Diphenhydramine,Cerivastatin
93279,93279,The metabolism,decrease,Gliclazide,Cerivastatin
93282,93282,The metabolism,decrease,Halothane,Cerivastatin
93283,93283,The metabolism,decrease,Moclobemide,Cerivastatin
93284,93284,The metabolism,decrease,Idarubicin,Cerivastatin
93287,93287,The metabolism,decrease,Lumiracoxib,Cerivastatin
93291,93291,The metabolism,decrease,Etoricoxib,Cerivastatin
93296,93296,The metabolism,decrease,Flunarizine,Cerivastatin
93299,93299,The metabolism,decrease,Brivaracetam,Cerivastatin
93304,93304,The metabolism,decrease,Dapagliflozin,Cerivastatin
93306,93306,The metabolism,decrease,Lornoxicam,Cerivastatin
93315,93315,The metabolism,decrease,Meloxicam,Cerivastatin
93319,93319,The metabolism,decrease,Cerivastatin,Diclofenac
93321,93321,The metabolism,decrease,Fluoxetine,Cerivastatin
93323,93323,The metabolism,decrease,Losartan,Cerivastatin
93324,93324,The metabolism,decrease,Diazepam,Cerivastatin
93327,93327,The metabolism,decrease,Azelastine,Cerivastatin
93329,93329,The metabolism,decrease,Ibuprofen,Cerivastatin
93331,93331,The metabolism,decrease,Carvedilol,Cerivastatin
93332,93332,The metabolism,decrease,Doxepin,Cerivastatin
93333,93333,The metabolism,decrease,Enzalutamide,Cerivastatin
93340,93340,The metabolism,decrease,Capecitabine,Cerivastatin
93342,93342,The metabolism,increase,Cerivastatin,Apremilast
93344,93344,The metabolism,increase,Clonazepam,Cerivastatin
93355,93355,The serum concentration,increase,Haloperidol,Cerivastatin
93365,93365,The metabolism,decrease,Fosphenytoin,Cerivastatin
93366,93366,The metabolism,decrease,Methotrexate,Cerivastatin
93368,93368,The metabolism,decrease,Cerivastatin,Dextropropoxyphene
93369,93369,The metabolism,decrease,Dolasetron,Cerivastatin
93372,93372,The metabolism,decrease,Meclizine,Cerivastatin
93373,93373,The metabolism,decrease,Minaprine,Cerivastatin
93374,93374,The metabolism,decrease,Alprenolol,Cerivastatin
93376,93376,The metabolism,decrease,Mesoridazine,Cerivastatin
93377,93377,The metabolism,decrease,Maprotiline,Cerivastatin
93380,93380,The metabolism,decrease,Dexfenfluramine,Cerivastatin
93381,93381,The metabolism,decrease,Acebutolol,Cerivastatin
93382,93382,The metabolism,decrease,Encainide,Cerivastatin
93387,93387,The metabolism,decrease,Methotrimeprazine,Cerivastatin
93388,93388,The metabolism,decrease,Aprindine,Cerivastatin
93390,93390,The metabolism,decrease,Dextroamphetamine,Cerivastatin
93393,93393,The metabolism,decrease,Debrisoquine,Cerivastatin
93395,93395,The metabolism,decrease,Celiprolol,Cerivastatin
93410,93410,The metabolism,decrease,Labetalol,Cerivastatin
93414,93414,The metabolism,decrease,Chlorpheniramine,Cerivastatin
93416,93416,The metabolism,decrease,Deutetrabenazine,Cerivastatin
93417,93417,The metabolism,decrease,Lisuride,Cerivastatin
93418,93418,The metabolism,decrease,Galantamine,Cerivastatin
93420,93420,The metabolism,decrease,Mequitazine,Cerivastatin
93426,93426,The metabolism,decrease,Ethylmorphine,Cerivastatin
93430,93430,The metabolism,decrease,Nebivolol,Cerivastatin
93431,93431,The metabolism,decrease,Lorcaserin,Cerivastatin
93433,93433,The metabolism,decrease,Clevidipine,Cerivastatin
93437,93437,The metabolism,decrease,Mianserin,Cerivastatin
93438,93438,The metabolism,decrease,Alogliptin,Cerivastatin
93443,93443,The metabolism,decrease,Imipramine,Cerivastatin
93444,93444,The metabolism,decrease,Buspirone,Cerivastatin
93449,93449,The metabolism,decrease,Nefazodone,Cerivastatin
93452,93452,The metabolism,decrease,Bepridil,Cerivastatin
93457,93457,The metabolism,decrease,Mirabegron,Cerivastatin
93458,93458,The metabolism,decrease,Hydrocodone,Cerivastatin
93460,93460,The metabolism,decrease,Clonidine,Cerivastatin
93461,93461,The metabolism,decrease,Darifenacin,Cerivastatin
93462,93462,The metabolism,decrease,Amoxapine,Cerivastatin
93463,93463,The metabolism,decrease,Clomipramine,Cerivastatin
93466,93466,The metabolism,decrease,Flecainide,Cerivastatin
94020,94020,The risk or severity of adverse effects,increase,Gemcitabine,Betamethasone
94022,94022,The risk or severity of adverse effects,increase,Gemcitabine,Epirubicin
94023,94023,The risk or severity of adverse effects,increase,Gemcitabine,Chloramphenicol
94025,94025,The risk or severity of adverse effects,increase,Gemcitabine,Cyclophosphamide
94028,94028,The risk or severity of adverse effects,increase,Gemcitabine,Methotrexate
94029,94029,The risk or severity of adverse effects,increase,Gemcitabine,Carbamazepine
94035,94035,The risk or severity of adverse effects,increase,Gemcitabine,Clofarabine
94040,94040,The risk or severity of adverse effects,increase,Gemcitabine,Daunorubicin
94042,94042,The risk or severity of adverse effects,increase,Gemcitabine,Irinotecan
94043,94043,The risk or severity of adverse effects,increase,Gemcitabine,Methimazole
94045,94045,The risk or severity of adverse effects,increase,Gemcitabine,Etoposide
94046,94046,The risk or severity of adverse effects,increase,Gemcitabine,Dacarbazine
94049,94049,The risk or severity of adverse effects,increase,Gemcitabine,Azacitidine
94050,94050,The risk or severity of adverse effects,increase,Gemcitabine,Methylprednisolone
94051,94051,The risk or severity of adverse effects,increase,Gemcitabine,Cytarabine
94052,94052,The risk or severity of adverse effects,increase,Gemcitabine,Azathioprine
94053,94053,The risk or severity of adverse effects,increase,Gemcitabine,Doxorubicin
94054,94054,The risk or severity of adverse effects,increase,Gemcitabine,Hydroxyurea
94057,94057,The risk or severity of adverse effects,increase,Gemcitabine,Mercaptopurine
94062,94062,The risk or severity of adverse effects,increase,Gemcitabine,Idarubicin
94063,94063,The risk or severity of adverse effects,increase,Gemcitabine,Ifosfamide
94064,94064,The risk or severity of adverse effects,increase,Gemcitabine,Estramustine
94065,94065,The risk or severity of adverse effects,increase,Gemcitabine,Mitoxantrone
94066,94066,The risk or severity of adverse effects,increase,Gemcitabine,Lomustine
94067,94067,The risk or severity of adverse effects,increase,Gemcitabine,Budesonide
94069,94069,The risk or severity of adverse effects,increase,Gemcitabine,Dexamethasone
94070,94070,The risk or severity of adverse effects,increase,Gemcitabine,Docetaxel
94071,94071,The risk or severity of adverse effects,increase,Gemcitabine,Dasatinib
94072,94072,The risk or severity of adverse effects,increase,Gemcitabine,Decitabine
94074,94074,The risk or severity of adverse effects,increase,Gemcitabine,Nelarabine
94077,94077,The risk or severity of adverse effects,increase,Gemcitabine,Colchicine
94079,94079,The risk or severity of adverse effects,increase,Gemcitabine,Everolimus
94080,94080,The risk or severity of adverse effects,increase,Gemcitabine,Hydroxychloroquine
94082,94082,The risk or severity of adverse effects,increase,Gemcitabine,Ixabepilone
94086,94086,The risk or severity of adverse effects,increase,Gemcitabine,Apremilast
94091,94091,The risk or severity of adverse effects,increase,Gemcitabine,Cabazitaxel
94098,94098,The risk or severity of adverse effects,increase,Gemcitabine,Ibrutinib
94103,94103,The risk or severity of adverse effects,increase,Gemcitabine,Baricitinib
94116,94116,The therapeutic efficacy,increase,Acenocoumarol,Gemcitabine
94118,94118,The serum concentration,increase,Fluorouracil,Gemcitabine
94119,94119,The serum concentration,increase,Capecitabine,Gemcitabine
94122,94122,The risk or severity of adverse effects,increase,Gemcitabine,Leflunomide
94131,94131,The risk or severity of bleeding,increase,Clopidogrel,Gemcitabine
94133,94133,the excretion rate which could result in a higher serum level,decrease,Nabumetone,Gemcitabine
94136,94136,the excretion rate which could result in a higher serum level,decrease,Celecoxib,Gemcitabine
94142,94142,the excretion rate which could result in a higher serum level,decrease,Diclofenac,Gemcitabine
94144,94144,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Gemcitabine
94147,94147,the excretion rate which could result in a higher serum level,decrease,Etodolac,Gemcitabine
94150,94150,the excretion rate which could result in a higher serum level,decrease,Naproxen,Gemcitabine
94152,94152,the excretion rate which could result in a higher serum level,decrease,Meloxicam,Gemcitabine
94154,94154,the excretion rate which could result in a higher serum level,decrease,Diflunisal,Gemcitabine
94158,94158,the excretion rate which could result in a higher serum level,decrease,Ketoprofen,Gemcitabine
94159,94159,the excretion rate which could result in a higher serum level,decrease,Balsalazide,Gemcitabine
94160,94160,the excretion rate which could result in a higher serum level,decrease,Ibuprofen,Gemcitabine
94162,94162,the excretion rate which could result in a higher serum level,decrease,Ceftriaxone,Gemcitabine
94163,94163,the excretion rate which could result in a higher serum level,decrease,Lumiracoxib,Gemcitabine
94164,94164,the excretion rate which could result in a higher serum level,decrease,Cefazolin,Gemcitabine
94168,94168,the excretion rate which could result in a higher serum level,decrease,Etoricoxib,Gemcitabine
94174,94174,the excretion rate which could result in a higher serum level,decrease,Lornoxicam,Gemcitabine
94175,94175,the excretion rate which could result in a higher serum level,decrease,Aceclofenac,Gemcitabine
94181,94181,the excretion rate which could result in a higher serum level,decrease,Morniflumate,Gemcitabine
94189,94189,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Chlorpromazine
94190,94190,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Buspirone
94191,94191,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Flutamide
94192,94192,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Haloperidol
94193,94193,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Ciprofloxacin
94194,94194,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Lamotrigine
94196,94196,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Labetalol
94198,94198,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Chloroquine
94199,94199,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Bisoprolol
94202,94202,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Dexmedetomidine
94206,94206,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Chlorpropamide
94207,94207,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Midazolam
94208,94208,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Flurazepam
94213,94213,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Nateglinide
94217,94217,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Estradiol
94222,94222,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Diazepam
94224,94224,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Dobutamine
94229,94229,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Amantadine
94230,94230,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Almotriptan
94231,94231,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Maprotiline
94232,94232,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Isoniazid
94236,94236,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Methyldopa
94238,94238,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Dopamine
94240,94240,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Levobupivacaine
94241,94241,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Metyrapone
94242,94242,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Guanfacine
94246,94246,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Fenofibrate
94247,94247,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Memantine
94248,94248,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Lubiprostone
94251,94251,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Glipizide
94252,94252,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Clonazepam
94258,94258,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Doxacurium
94259,94259,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Levofloxacin
94260,94260,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Nefazodone
94261,94261,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Bupropion
94263,94263,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Cilostazol
94264,94264,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Naloxone
94265,94265,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Fomepizole
94266,94266,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Estazolam
94267,94267,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Ketamine
94269,94269,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Metoclopramide
94270,94270,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Gemfibrozil
94274,94274,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Hydralazine
94279,94279,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Bromazepam
94284,94284,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Lorcaserin
94286,94286,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Clevidipine
94288,94288,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Ezogabine
94290,94290,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Brivaracetam
94292,94292,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Alogliptin
94296,94296,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Nalmefene
94297,94297,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Droxidopa
94298,94298,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Levocetirizine
94305,94305,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Methyltestosterone
94306,94306,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Mirabegron
94308,94308,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Enzalutamide
94311,94311,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Macitentan
94317,94317,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Dienogest
94322,94322,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Blonanserin
94334,94334,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Deutetrabenazine
94345,94345,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Imipramine
94346,94346,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Cimetidine
94347,94347,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Doxepin
94349,94349,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Apalutamide
94351,94351,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Fentanyl
94353,94353,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Desipramine
94354,94354,the excretion rate which could result in a higher serum level,decrease,Gemcitabine,Clomipramine
94362,94362,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Diazoxide,Gemcitabine
94363,94363,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Gemcitabine,Furosemide
94364,94364,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Gemcitabine,Indapamide
94365,94365,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Gemcitabine,Bumetanide
94367,94367,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Gemcitabine,Canagliflozin
94369,94369,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Amiloride,Gemcitabine
94370,94370,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Eplerenone,Gemcitabine
94371,94371,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Acetazolamide,Gemcitabine
94374,94374,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Efonidipine,Gemcitabine
94375,94375,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Conivaptan,Gemcitabine
94377,94377,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Dapagliflozin,Gemcitabine
94378,94378,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Ertugliflozin,Gemcitabine
94386,94386,The risk or severity of adverse effects,increase,Betamethasone,Epirubicin
94387,94387,The risk or severity of adverse effects,increase,Betamethasone,Chloramphenicol
94389,94389,The risk or severity of adverse effects,increase,Betamethasone,Cyclophosphamide
94390,94390,The risk or severity of adverse effects,increase,Betamethasone,Fluorouracil
94392,94392,The risk or severity of adverse effects,increase,Betamethasone,Clofarabine
94396,94396,The risk or severity of adverse effects,increase,Betamethasone,Irinotecan
94397,94397,The risk or severity of adverse effects,increase,Betamethasone,Dacarbazine
94398,94398,The risk or severity of adverse effects,increase,Betamethasone,Azacitidine
94399,94399,The risk or severity of adverse effects,increase,Betamethasone,Azathioprine
94400,94400,The risk or severity of adverse effects,increase,Betamethasone,Hydroxyurea
94403,94403,The risk or severity of adverse effects,increase,Betamethasone,Mercaptopurine
94407,94407,The risk or severity of adverse effects,increase,Betamethasone,Idarubicin
94408,94408,The risk or severity of adverse effects,increase,Betamethasone,Estramustine
94409,94409,The risk or severity of adverse effects,increase,Betamethasone,Mitoxantrone
94410,94410,The risk or severity of adverse effects,increase,Betamethasone,Lomustine
94411,94411,The risk or severity of adverse effects,increase,Betamethasone,Decitabine
94412,94412,The risk or severity of adverse effects,increase,Betamethasone,Nelarabine
94413,94413,The risk or severity of adverse effects,increase,Betamethasone,Hydroxychloroquine
94415,94415,The risk or severity of adverse effects,increase,Betamethasone,Cabazitaxel
94421,94421,The risk or severity of adverse effects,increase,Betamethasone,Baricitinib
94424,94424,The risk or severity of adverse effects,increase,Betamethasone,Apremilast
94425,94425,The risk or severity of adverse effects,increase,Betamethasone,Colchicine
94434,94434,The risk or severity of adverse effects,increase,Betamethasone,Methylprednisolone
94435,94435,The risk or severity of adverse effects,increase,Betamethasone,Budesonide
94436,94436,The risk or severity of adverse effects,increase,Betamethasone,Dexamethasone
94449,94449,The metabolism,increase,Aripiprazole,Betamethasone
94451,94451,The risk or severity of hyperglycemia,increase,Betamethasone,Ceritinib
94452,94452,The risk or severity of hypokalemia,increase,Betamethasone,Epinephrine
94453,94453,The risk or severity of hypokalemia,increase,Betamethasone,Dobutamine
94460,94460,The risk or severity of hypokalemia,increase,Betamethasone,Clenbuterol
94461,94461,The risk or severity of hypokalemia,increase,Betamethasone,Celiprolol
94463,94463,The risk or severity of hypokalemia,increase,Betamethasone,Droxidopa
94467,94467,The therapeutic efficacy,decrease,Betamethasone,Mifepristone
94468,94468,The serum concentration,decrease,Betamethasone,Mitotane
94471,94471,The metabolism,increase,Ifosfamide,Betamethasone
94474,94474,The metabolism,increase,Acenocoumarol,Betamethasone
94476,94476,The risk or severity of adverse effects,increase,Betamethasone,Leflunomide
94483,94483,The serum concentration,increase,Estradiol,Betamethasone
94487,94487,The serum concentration,increase,Mestranol,Betamethasone
94492,94492,The serum concentration,increase,Gestodene,Betamethasone
94503,94503,The risk or severity of tendinopathy,increase,Betamethasone,Ciprofloxacin
94506,94506,The risk or severity of tendinopathy,increase,Betamethasone,Enoxacin
94511,94511,The risk or severity of tendinopathy,increase,Betamethasone,Lomefloxacin
94515,94515,The risk or severity of tendinopathy,increase,Levofloxacin,Betamethasone
94519,94519,the hypokalemic activities,increase,Betamethasone,Indapamide
94521,94521,The risk or severity of fluid retention,increase,Betamethasone,Danazol
94524,94524,The risk or severity of hypokalemia,increase,Betamethasone,Furosemide
94526,94526,The risk or severity of gastrointestinal irritation,increase,Diflunisal,Betamethasone
94528,94528,The risk or severity of gastrointestinal irritation,increase,Balsalazide,Betamethasone
94529,94529,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Nabumetone
94535,94535,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Flurbiprofen
94536,94536,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Etodolac
94538,94538,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Ketoprofen
94539,94539,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Lumiracoxib
94543,94543,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Lornoxicam
94544,94544,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Aceclofenac
94548,94548,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Morniflumate
94554,94554,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Meloxicam
94556,94556,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Etoricoxib
94562,94562,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Celecoxib
94563,94563,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Diclofenac
94564,94564,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Naproxen
94565,94565,The risk or severity of gastrointestinal irritation,increase,Betamethasone,Ibuprofen
94568,94568,The therapeutic efficacy,decrease,Bambuterol,Betamethasone
94570,94570,The therapeutic efficacy,decrease,Isoflurophate,Betamethasone
94571,94571,The therapeutic efficacy,decrease,Diethylcarbamazine,Betamethasone
94574,94574,The therapeutic efficacy,decrease,Minaprine,Betamethasone
94575,94575,The therapeutic efficacy,decrease,Memantine,Betamethasone
94579,94579,The therapeutic efficacy,decrease,Betamethasone,Decamethonium
94584,94584,The therapeutic efficacy,decrease,Metoclopramide,Betamethasone
94586,94586,The therapeutic efficacy,decrease,Galantamine,Betamethasone
94587,94587,The therapeutic efficacy,decrease,Ketamine,Betamethasone
94588,94588,The therapeutic efficacy,decrease,Capsaicin,Betamethasone
94589,94589,The therapeutic efficacy,decrease,Chlorpromazine,Betamethasone
94591,94591,The therapeutic efficacy,decrease,Donepezil,Betamethasone
94592,94592,The therapeutic efficacy,decrease,Neostigmine,Betamethasone
94593,94593,The risk or severity of myopathy and weakness,increase,Doxacurium,Betamethasone
94600,94600,The risk or severity of edema formation,increase,Methyltestosterone,Betamethasone
94602,94602,The risk or severity of edema formation,increase,Dienogest,Betamethasone
94609,94609,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Montelukast
94610,94610,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Lercanidipine
94611,94611,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Niacin
94612,94612,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Clofibrate
